role_id,role_name,role_label,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob
1,能天使,7,0.06740192163226373,0.15272316942269493,0.11570216411831907,0.019468142648014646,0.104893893457127,0.17020386282068387,0.03462880206283538,0.17780843351143097,0.011894741107438605,0.1452748692191917
2,推进之王,4,0.02654162183525053,0.2416491062527994,0.055487376879341764,0.006305048165854313,0.2741856248463805,0.12339324644682384,0.011987877945199626,0.17612684624991762,0.003755396409651599,0.08056785496878074
3,伊芙利特,0,0.17370284717997242,0.0323812957300687,0.14736473892317847,0.12108097889971048,0.016586728124477767,0.08959697677042752,0.15596868510984,0.05827373685282443,0.08718972214405295,0.11785429026544719
4,艾雅法拉,0,0.17410354747841217,0.03486755645150489,0.15664493560637782,0.10749173986971997,0.01770409247585941,0.09721682706135443,0.1461028076180826,0.06309162235012408,0.07490166182857888,0.12787520925998583
5,安洁莉娜,5,0.10485977768285336,0.10113415522733514,0.14797839939449253,0.037162888100504776,0.06108802861707216,0.1613535008125443,0.06178569019157223,0.14005177191525417,0.02338387841603,0.16120190964234138
6,闪灵,7,0.062132149791204086,0.16257803667660156,0.10990304804954204,0.01719925795433985,0.11655535577690782,0.1686813564433815,0.031139769531131484,0.18113821004765246,0.01041316185034662,0.14025965387889253
7,夜莺,0,0.17520882610675131,0.029712115215544118,0.1437881805202813,0.12862842941581432,0.01513894547725385,0.08449390468337471,0.16249857672968862,0.05408231827944538,0.09364323700120815,0.11280546657063817
8,星熊,5,0.07628685779081028,0.13640209775991013,0.12685437519980905,0.02241000083609362,0.08870763920931485,0.17254559723783722,0.03980259567839604,0.1689078804222945,0.013661462004076481,0.15442149386145795
9,塞雷娅,0,0.17433156885349177,0.03471282862375199,0.1554269317153486,0.10894951365714961,0.017684878378996894,0.09635546830035514,0.14752501540558577,0.06262045268119795,0.07589782428934064,0.12649551809478182
10,银灰,0,0.1684967903255969,0.04020178722585497,0.1611213534405665,0.09590011088570347,0.02070476178695156,0.1063374874733312,0.13432969464819533,0.07099700058742935,0.06575541518506596,0.13615559844130462
11,斯卡蒂,1,0.0502918610969132,0.18826993283339388,0.09341538961302093,0.013501159605921714,0.1484947955619571,0.1609712930978399,0.02458900194426627,0.18777845957999342,0.00818619907653284,0.12450190759016082
12,陈,1,0.03957875547296683,0.21229038552618115,0.07840001037752106,0.00987720748633672,0.18388447446571335,0.15135385255820494,0.018475923512883425,0.1909626211118282,0.005912522215935806,0.10926424727242869
13,黑,7,0.06851051767905574,0.1488770441991099,0.1185202746651049,0.01938457391637445,0.09977654099873266,0.17234288703021738,0.03483671716459358,0.17717238599544752,0.011763218643820223,0.14881583970754372
14,赫拉格,1,0.03417428411360722,0.2254264157103612,0.06945524939203611,0.008313209346317645,0.2133960029215286,0.1420675522579795,0.01568977614551299,0.18787299273313615,0.004957580847628517,0.09864693653189223
15,麦哲伦,0,0.16496269837290914,0.040906372052153486,0.15066374383309433,0.10676329403717497,0.021791258695873596,0.10134384128249836,0.14055769791634976,0.069704726213093,0.07668116174876301,0.12662520584809023
16,莫斯提马,0,0.16820874531259403,0.04015545080491326,0.15563056371732975,0.1018350862468191,0.021016886332832295,0.10308490461929397,0.13900273224828294,0.06971217960228536,0.07093188861683111,0.13042156249881814
17,煌,7,0.07154784674643082,0.14588360573609882,0.1200087793787243,0.0211784182683117,0.09866231965732762,0.1701804273207322,0.03737206680102862,0.17390721866707462,0.012960540541322176,0.14829877688294915
18,阿,5,0.08768094627935859,0.12303499504136312,0.13581260635991696,0.027629074174617244,0.07976036808604511,0.16777678134720556,0.04800037440566818,0.15650027842540412,0.01704042609748421,0.15676414978293696
