role_id,role_name,role_label,cluster_1_prob,cluster_2_prob
1,能天使,0,0.8591090434252701,0.1408909565747299
2,推进之王,0,0.9546320592601031,0.045367940739897
3,伊芙利特,1,0.2659876348029568,0.7340123651970432
4,艾雅法拉,1,0.29815488875970997,0.70184511124029
5,安洁莉娜,0,0.7167626458221112,0.2832373541778888
6,闪灵,0,0.8758831754770451,0.12411682452295496
7,夜莺,1,0.24283280068905952,0.7571671993109403
8,星熊,0,0.8325051507756369,0.16749484922436308
9,塞雷娅,1,0.294504188894957,0.705495811105043
10,银灰,1,0.34550480552899326,0.6544951944710067
11,斯卡蒂,0,0.9057658575115337,0.09423414248846619
12,陈,0,0.9312650247864848,0.06873497521351528
13,黑,0,0.8575642830258644,0.14243571697413562
14,赫拉格,0,0.9418686913709229,0.058131308629077144
15,麦哲伦,1,0.32928066189237504,0.6707193381076249
16,莫斯提马,1,0.3327289251931431,0.6672710748068568
17,煌,0,0.8457187756682756,0.15428122433172445
18,阿,0,0.7909915140690584,0.20900848593094165
19,年,0,0.6603180289028414,0.33968197109715864
20,刻俄柏,1,0.08903674949274042,0.9109632505072596
21,风笛,1,0.16730004399353465,0.8326999560064654
22,傀影,0,0.5610060606911145,0.43899393930888553
23,温蒂,1,0.14873534792237103,0.851264652077629
24,W,0,0.9383808224987383,0.061619177501261654
25,早露,0,0.8945480289631874,0.10545197103681266
26,铃兰,1,0.08001425917517938,0.9199857408248207
27,棘刺,0,0.8571015240120264,0.14289847598797345
28,森蚺,0,0.9306287971454391,0.06937120285456089
29,史尔特尔,1,0.09043994269757588,0.9095600573024241
30,瑕光,0,0.7492246075773324,0.2507753924226675
31,泥岩,0,0.6154275314207934,0.38457246857920657
32,迷迭香,0,0.7415939012584346,0.25840609874156534
33,山,0,0.7797912054195367,0.22020879458046325
34,空弦,0,0.9390669268252527,0.06093307317474739
35,嵯峨,0,0.9337710545961668,0.0662289454038332
36,夕,0,0.8909252129060898,0.10907478709391018
37,灰烬,0,0.8201212836070403,0.1798787163929598
38,异客,0,0.9304260064537986,0.0695739935462014
39,歌蕾蒂娅,1,0.28204917309871624,0.7179508269012836
40,凯尔希,0,0.3987825372048183,0.6012174627951817
41,浊心斯卡蒂,1,0.32219375375604825,0.6778062462439518
42,卡涅利安,0,0.9326126072821435,0.06738739271785651
43,帕拉斯,0,0.9486084635435322,0.05139153645646771
44,水月,0,0.9186851322819223,0.08131486771807765
45,假日威龙陈,1,0.2833617726425,0.7166382273575
46,琴柳,1,0.25839702886311045,0.7416029711368896
47,远牙,0,0.9595489888517149,0.04045101114828513
48,焰尾,0,0.94343949548286,0.05656050451714001
49,耀骑士临光,1,0.3073590025221631,0.692640997477837
50,灵知,1,0.25524731814907525,0.7447526818509248
51,老鲤,0,0.9176677313791965,0.08233226862080337
52,令,0,0.5211876936272571,0.47881230637274286
53,澄闪,0,0.481582961169766,0.518417038830234
54,菲亚梅塔,0,0.9239693832817611,0.07603061671823884
55,号角,0,0.6988768850187188,0.3011231149812813
56,流明,0,0.8887388971960251,0.11126110280397485
57,艾丽妮,0,0.8972539365243847,0.10274606347561545
58,归溟幽灵鲨,1,0.3483236694478563,0.6516763305521438
59,黑键,0,0.8338671641862878,0.16613283581371222
60,多萝西,0,0.5302060326355187,0.46979396736448137
61,鸿雪,0,0.6831414820919157,0.31685851790808434
62,百炼嘉维尔,0,0.6912839437051034,0.3087160562948966
63,玛恩纳,1,0.15807226979557978,0.8419277302044202
64,白铁,0,0.7967914932839203,0.20320850671607962
65,伺夜,0,0.9578388187444211,0.04216118125557879
66,斥罪,0,0.6583631415474784,0.3416368584525216
67,缄默德克萨斯,1,0.08259730632023699,0.917402693679763
68,焰影苇草,1,0.1138412114336728,0.8861587885663272
69,林,0,0.47481283449537887,0.5251871655046211
70,重岳,0,0.7578174611978419,0.2421825388021582
71,仇白,1,0.2738073968964134,0.7261926031035867
72,麒麟R夜刀,1,0.11838601737208189,0.8816139826279182
73,伊内丝,1,0.05806620327685655,0.9419337967231434
74,淬羽赫默,0,0.9357833841354852,0.06421661586451483
75,霍尔海雅,0,0.9241655706881681,0.07583442931183196
76,缪尔赛思,1,0.31551441189170965,0.6844855881082903
77,圣约送葬人,0,0.7440722864939887,0.2559277135060114
78,提丰,0,0.6307319462880596,0.3692680537119404
79,琳琅诗怀雅,0,0.9244302062686826,0.07556979373131743
80,纯烬艾雅法拉,1,0.15516708410404406,0.844832915895956
81,涤火杰西卡,0,0.5951849919555594,0.40481500804444054
82,赫德雷,0,0.5522377866023628,0.4477622133976373
83,止颂,0,0.9586776510754201,0.0413223489245798
84,薇薇安娜,0,0.6734464961978401,0.32655350380215986
85,塑心,1,0.11306796296965062,0.8869320370303495
86,锏,1,0.1830623858761989,0.8169376141238011
87,莱伊,1,0.1304791201551915,0.8695208798448085
88,左乐,0,0.4615346577651711,0.5384653422348289
89,黍,1,0.06924273148232879,0.9307572685176713
90,艾拉,1,0.07760578849805749,0.9223942115019425
91,阿斯卡纶,1,0.2061552932759331,0.7938447067240668
92,魔王,0,0.5331945319351832,0.4668054680648168
93,逻各斯,1,0.0625667350064048,0.9374332649935951
94,维什戴尔,1,0.0629253257541629,0.937074674245837
95,乌尔比安,1,0.18666190059204346,0.8133380994079565
96,妮芙,1,0.09281967586341015,0.9071803241365899
97,娜仁图亚,0,0.5236388298890962,0.4763611701109039
98,佩佩,0,0.645038300217369,0.35496169978263115
99,玛露西尔,0,0.6579970253976645,0.34200297460233564
100,维娜·维多利亚,1,0.22576318470734896,0.7742368152926511
101,弑君者,0,0.9478759955160783,0.052124004483921765
102,忍冬,0,0.8267457993263507,0.1732542006736492
103,荒芜拉普兰德,1,0.2043238007856972,0.7956761992143028
